id,helper__product_code,helper__pricing_code,currency_code,amount,started_at,ended_at,metadata
019dee39-674d-721b-8ab3-2fbaae97231f,CORE_HR,MONTHLY,IDR,249000,2025-01-01T00:00:00Z,2025-12-31T23:59:59Z,"{""source"":""legacy_launch_price""}"
019dee39-6844-7603-8770-8ac47ad9e074,CORE_HR,MONTHLY,IDR,299000,2026-01-01T00:00:00Z,,"{""source"":""current_price""}"
019dee39-68f7-74af-85ad-574d6dfc8f4d,CORE_HR,MONTHLY,USD,19,2026-01-01T00:00:00Z,,"{""source"":""current_price""}"
019dee39-6979-7000-9072-ddef424ec4c9,CORE_HR,ANNUAL,IDR,2990000,2026-01-01T00:00:00Z,,"{""source"":""current_price"",""effective_months_paid"":10}"
019dee39-6a18-78be-80de-1529459ff60e,CORE_HR,ANNUAL,USD,190,2026-01-01T00:00:00Z,,"{""source"":""current_price"",""effective_months_paid"":10}"
019dee39-6aa1-7537-b2ed-c199a27268e9,ATTENDANCE_PRO,MONTHLY,IDR,99000,2026-01-01T00:00:00Z,,"{""source"":""current_price""}"
019dee39-6b2e-766c-a2ae-a8fb6c56917b,ATTENDANCE_PRO,MONTHLY,USD,7,2026-01-01T00:00:00Z,,"{""source"":""current_price""}"
019dee39-6baf-7c50-9c89-50d450478ca7,ATTENDANCE_PRO,ANNUAL,IDR,999000,2026-01-01T00:00:00Z,,"{""source"":""current_price"",""effective_months_paid"":10}"
019dee39-6c63-7868-a82b-87c005276e31,ATTENDANCE_PRO,ANNUAL,USD,70,2026-01-01T00:00:00Z,,"{""source"":""current_price"",""effective_months_paid"":10}"
019dee39-6d0b-71e0-8864-1b77ef674aa5,PAYROLL_EXPORT,MONTHLY,IDR,149000,2026-01-01T00:00:00Z,,"{""source"":""current_price""}"
019dee39-6da0-73ad-8379-ebefd93d6665,PAYROLL_EXPORT,MONTHLY,USD,10,2026-01-01T00:00:00Z,,"{""source"":""current_price""}"
019dee39-6e26-739d-ba17-c6fe9349fe2f,PAYROLL_EXPORT,ANNUAL,IDR,1499000,2026-01-01T00:00:00Z,,"{""source"":""current_price"",""effective_months_paid"":10}"
019dee39-6eb6-7eb5-9677-12f8a464b3b6,PAYROLL_EXPORT,ANNUAL,USD,100,2026-01-01T00:00:00Z,,"{""source"":""current_price"",""effective_months_paid"":10}"
019dee39-6f50-710d-a581-2a5e113ceef1,EXTRA_EMPLOYEE_100,MONTHLY,IDR,79000,2026-01-01T00:00:00Z,,"{""source"":""current_price"",""seat_pack"":100}"
019dee39-6fe6-7c7b-adda-6f5d37bb2bc1,EXTRA_EMPLOYEE_100,MONTHLY,USD,5,2026-01-01T00:00:00Z,,"{""source"":""current_price"",""seat_pack"":100}"
019dee39-7090-7d3e-8b69-f631828f2733,EXTRA_EMPLOYEE_100,ANNUAL,IDR,799000,2026-01-01T00:00:00Z,,"{""source"":""current_price"",""effective_months_paid"":10,""seat_pack"":100}"
019dee39-712d-781e-960c-7077708242d6,EXTRA_EMPLOYEE_100,ANNUAL,USD,55,2026-01-01T00:00:00Z,,"{""source"":""current_price"",""effective_months_paid"":10,""seat_pack"":100}"
