helper__role_name,helper__permission_name
owner,master.read
owner,master.write
owner,employee.read
owner,employee.write
owner,attendance.read
owner,attendance.write
owner,user.read
owner,user.write
owner,rbac.manage
owner,report.read
admin,master.read
admin,master.write
admin,employee.read
admin,employee.write
admin,attendance.read
admin,attendance.write
admin,user.read
admin,user.write
admin,report.read
manager,master.read
manager,employee.read
manager,attendance.read
manager,report.read
employee,master.read
employee,attendance.read
