id,helper__tenant_code,helper__parent_code,name,code,category,config
019d89ca-44d3-763d-ae8d-c40b997fa53a,BERUA,,PT Beruang Jaya,COMPANY,company,"{""logo"":null,""attendance_radius_meters"":50,""attendance_check_in_start"":""08:00"",""attendance_check_in_end"":""09:00"",""attendance_check_out_start"":""17:00"",""attendance_check_out_end"":""23:59"",""leave_allowance_annual"":12,""overtime_rate_multiplier"":1.5,""preferred_language"":""id"",""supported_languages"":[""id"",""en""],""timezone"":""Asia/Makassar"",""date_format"":""YYYY-MM-DD"",""time_format"":""HH:mm:ss""}"
019d89ca-45ba-79b8-9501-b97cc834d3d4,BERUA,COMPANY,Branch A,BRANCH-A,branch,{}
019d89ca-466a-7e73-8eaf-0aecc145da80,BERUA,COMPANY,Branch B,BRANCH-B,branch,{}
019d89ca-4706-7bdb-b924-7dbb6a2920e3,BERUA,BRANCH-A,Division A,DIV-A,division,{}
019d89ca-47b8-77b0-af1d-df0b11b29a6c,BERUA,BRANCH-B,Division B,DIV-B,division,{}
019d89ca-484a-79fe-925f-203fc8a55586,BERUA,DIV-A,Department HR,DEPT-HR,department,{}
019d89ca-48e9-7693-8910-3eced8526138,BERUA,DIV-A,Department Finance,DEPT-FIN,department,{}
019d89ca-497d-7236-843f-bc75c2473fc0,BERUA,DIV-B,Department IT,DEPT-IT,department,{}
019d89ca-4a06-7af4-b916-2fb19bb08c3a,BERUA,DEPT-IT,Unit Programming,UNIT-PROG,unit,{}
019d89ca-4a9d-79f6-8e7e-72c525eba98c,BERUA,DEPT-IT,Unit Design,UNIT-DES,unit,{}
